trm_4a3fd79d09b6d;"backward masking"
trm_4a3fd79d0b3d7;"trace conditioning"
trm_4af89b3a925ca;"Vandenberg & Kuse Tasks"
trm_4b1968619b00b;"Color-word Stroop Task"
trm_4b4a537644d76;"Continuous Performance Task"
trm_4b65e5e2ab3ca;"word-picture verification task"
trm_4b7497a289534;"Block Design Test"
trm_4b749b8829eee;"Embedded Figures Test"
trm_4b75ea4ddd896;"Same-Different Task"
trm_4b843655d5d75;"Chimeric Animal Stroop Task"
trm_4b86c2e871b14;"Rapid Automatized Naming Test"
trm_4b86c473a7166;"Underlining Test"
trm_4b86c55f3d5df;"WISC-R Mazes"
trm_4b86dbcd8ff78;"Rapid Serial Object Transformation"
trm_4b94affc43245;"Wechsler Abbreviated Scale of Intelligence"
trm_4b94b12bf0eb2;"Wechsler Memory Scale Fourth Edition"
trm_4b9568b2865c2;"MicroCog"
trm_4c3e0a9576c3b;"letter number sequencing"
trm_4c3e0add96550;"oculomotor delayed response"
trm_4c40d10cd776e;"operation span task"
trm_4c40d168898db;"reading span task"
trm_4c40d1d16071e;"listening span task"
trm_4c40d2a93ea15;"AX-CPT task"
trm_4c40d325977f0;"self-ordered pointing task"
trm_4c40d4054f38b;"keep-track task"
trm_4c8989e1f3df7;"Acupuncture Task"
trm_4c898a20eb254;"Braille Reading Task"
trm_4c898a680e424;"Breath-Holding"
trm_4c898a8fd3afb;"Chewing/Swallowing"
trm_4c898acd1f28e;"Classical Conditioning"
trm_4c898b02722d2;"Counting/Calculation"
trm_4c898b29660b0;"Cued Explicit Recognition"
trm_4c898b4b463aa;"Deception Task"
trm_4c898b8c2d071;"Deductive Reasoning Task"
trm_4c898bbab4fd4;"Divided Auditory Attention"
trm_4c898be57fcbc;"Drawing"
trm_4c898c0786246;"Eating/Drinking"
trm_4c898c33ee5f8;"Encoding Task"
trm_4c898c8bf1b4f;"Episodic Recall"
trm_4c898cb4ada49;"Face Monitor/Discrimination"
trm_4c898da401420;"Film Viewing"
trm_4c898f079d05e;"Finger Tapping Task"
trm_4c898f72228f3;"Fixation Task"
trm_4c898f8f297ac;"Flashing Checkerboard"
trm_4c898fad429ed;"Flexion/Extension"
trm_4c898fc6722f4;"Free Word List Recall"
trm_4c898ff0bea97;"Grasping Task"
trm_4c899005b11d5;"Imagined Movement"
trm_4c89903149aeb;"Imagined Objects/Scenes"
trm_4c8990480ad0f;"Isometric Force"
trm_4c8990810541d;"Mental Rotation Task"
trm_4c89909cc1f33;"Micturition Task"
trm_4c8990b07a037;"Music Comprehension/Production"
trm_4c8990c87035d;"Naming (Covert)"
trm_4c8990e187dc7;"Naming (Overt)"
trm_4c8990f59266f;"Non-Painful Electrical Stimulation"
trm_4c89910b7f8bc;"Non-Painful Thermal Stimulation"
trm_4c89912c79030;"Olfactory Monitor/Discrimination"
trm_4c89913f80802;"Orthographic Discrimination"
trm_4c8991c5beb0a;"Pain Monitor/Discrimination Task"
trm_4c8991e6e8597;"Paired Associate Recall"
trm_4c8991fadfe01;"Passive Listening"
trm_4c899211a965c;"Passive Viewing"
trm_4c89922cb6402;"Phonological Discrimination"
trm_4c89924414c69;"Pitch Monitor/Discrimination"
trm_4c89926767870;"Pointing"
trm_4c8a82ba8a538;"Reading (Covert)"
trm_4c8a82eeaa58f;"Reading (Overt)"
trm_4c8a830dec136;"Recitation/Repetition (Covert)"
trm_4c8a8329cb8ff;"Recitation/Repetition (Overt)"
trm_4c8a834779883;"Rest"
trm_4c8a83cac75f5;"Sequence Recall/Learning"
trm_4c8a83f27ac55;"Spatial/Location Discrimination"
trm_4c8a840d6f969;"Subjective Emotional Picture Discrimination"
trm_4c8a842512a33;"Syntactic Discrimination"
trm_4c8a843d8d352;"Tactile Monitor/Discrimination"
trm_4c8a8467304e2;"Theory of Mind Task"
trm_4c8a84825c4e4;"Tone Monitor/Discrimination"
trm_4c8a84afdd863;"Vibrotactile Monitor/Discrimination"
trm_4c8a84d4c4157;"Video Games"
trm_4c8a84f20dde2;"Visual Distractor/Visual Attention"
trm_4c8a85534241d;"Visual Pursuit/Tracking"
trm_4c8a8575d1e55;"Whistling"
trm_4c8a858da803d;"Word Stem Completion (Covert)"
trm_4c8a85a4564b2;"Word Stem Completion (Overt)"
trm_4c8a85c5c75eb;"Writing Task"
trm_4cacee4a1d875;"Mixed gambles task"
trm_4cacf22a22d80;"Probabilistic classification task"
trm_4cacf3fbc503b;"Conditional stop signal task"
tsk_4a57abb94981d;"Action imitation task"
tsk_4a57abb949846;"Action observation task"
tsk_4a57abb949858;"Adult Attachment Interview"
tsk_4a57abb949869;"Antisaccade/prosaccade task"
tsk_4a57abb949879;"attentional blink task"
tsk_4a57abb949889;"audio-visual target-detection task"
tsk_4a57abb94989b;"Backward digit span task"
tsk_4a57abb9498ab;"Behavioral Rating Inventory of Executive Function"
tsk_4a57abb9498bc;"Benton Facial Recognition Test"
tsk_4a57abb9498ce;"Birmingham Object Recognition Battery"
tsk_4a57abb9498df;"Block Tapping Test"
tsk_4a57abb9498ef;"Boston Naming Test"
tsk_4a57abb949900;"California Verbal Learning Test-II"
tsk_4a57abb949912;"Cambridge Face Memory Test"
tsk_4a57abb949923;"category fluency test"
tsk_4a57abb949934;"choice reaction time task"
tsk_4a57abb9499a8;"Clinical Evaluation of Language Fundamentals-3"
tsk_4a57abb9499b8;"color-discrimination task"
tsk_4a57abb9499c7;"continuous recognition paradigm"
tsk_4a57abb9499d5;"Cups task"
tsk_4a57abb9499e3;"delayed match to sample task"
tsk_4a57abb9499f1;"delayed nonmatch to sample task"
tsk_4a57abb9499ff;"delayed recall test"
tsk_4a57abb949a0d;"Digit span task"
tsk_4a57abb949a25;"Digit/Symbol Coding test"
